epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,535.195,1.44049,1.19425,1.39269,0.7593,0.67363,0.79639,0.39478,1.88565,1.72873,1.52428,0.00045285,0.00045285,0.00045285
71,543.289,1.43416,1.16345,1.38676,0.64411,0.78627,0.77515,0.35307,1.79033,1.50235,1.50521,0.000438703,0.000438703,0.000438703
72,551.44,1.39176,1.1306,1.37538,0.58745,0.76297,0.7335,0.36211,1.88824,1.63179,1.55729,0.000424556,0.000424556,0.000424556
73,559.007,1.37668,1.12027,1.37111,0.67,0.74495,0.75186,0.3564,1.92685,1.52398,1.58344,0.000410409,0.000410409,0.000410409
74,566.438,1.36852,1.12646,1.37466,0.67613,0.78906,0.76476,0.3618,1.9985,1.63053,1.61072,0.000396262,0.000396262,0.000396262
75,574.225,1.38645,1.10736,1.3676,0.66142,0.81936,0.76107,0.37351,1.96373,1.5202,1.57649,0.000382115,0.000382115,0.000382115
76,581.733,1.36314,1.11827,1.35886,0.65844,0.84276,0.81285,0.3643,2.00676,1.55137,1.59393,0.000367967,0.000367967,0.000367967
77,589.404,1.37685,1.13375,1.38962,0.62163,0.72306,0.73207,0.34473,2.00393,1.51277,1.59943,0.00035382,0.00035382,0.00035382
78,596.793,1.37539,1.13723,1.35748,0.67218,0.78013,0.80228,0.35969,1.93203,1.58195,1.59784,0.000339673,0.000339673,0.000339673
79,604.108,1.35159,1.12524,1.35879,0.64426,0.82033,0.79877,0.3744,2.01609,1.47374,1.57305,0.000325526,0.000325526,0.000325526
80,611.399,1.35948,1.12443,1.35759,0.71542,0.76801,0.8113,0.39882,1.85566,1.39136,1.50271,0.000311379,0.000311379,0.000311379
81,618.686,1.34286,1.08488,1.35921,0.78945,0.73215,0.82031,0.3804,1.96185,1.48039,1.53472,0.000297232,0.000297232,0.000297232
82,625.954,1.32354,1.08384,1.34644,0.69722,0.80724,0.80925,0.3807,2.00419,1.53093,1.58006,0.000283085,0.000283085,0.000283085
83,633.215,1.33092,1.0782,1.34747,0.74091,0.82505,0.8341,0.41635,1.91544,1.48894,1.5301,0.000268938,0.000268938,0.000268938
84,640.509,1.33256,1.09482,1.36,0.71158,0.82721,0.83889,0.38375,2.01056,1.53609,1.62881,0.000254791,0.000254791,0.000254791
85,647.736,1.29508,1.08384,1.34315,0.68669,0.80009,0.79744,0.39088,1.93851,1.56234,1.58922,0.000240644,0.000240644,0.000240644
86,654.98,1.27815,1.03743,1.32815,0.67976,0.82765,0.7992,0.3667,2.00374,1.54965,1.63938,0.000226497,0.000226497,0.000226497
87,662.235,1.30658,1.00879,1.32358,0.65061,0.79644,0.77605,0.37452,2.00186,1.57929,1.58638,0.000212349,0.000212349,0.000212349
88,669.521,1.32789,1.06107,1.3483,0.68153,0.74271,0.7843,0.36846,2.06811,1.52102,1.62439,0.000198202,0.000198202,0.000198202
89,676.816,1.29314,1.02142,1.33439,0.67807,0.79091,0.81494,0.3998,2.07116,1.5091,1.59435,0.000184055,0.000184055,0.000184055
90,684.053,1.29045,1.03105,1.33494,0.63955,0.84447,0.82318,0.39107,2.11706,1.5316,1.64732,0.000169908,0.000169908,0.000169908
91,707.67,1.35773,1.11045,1.40636,0.60052,0.76959,0.7489,0.373,2.01571,1.53811,1.59396,0.000155761,0.000155761,0.000155761
92,714.488,1.2337,0.99515,1.32969,0.64883,0.8101,0.77138,0.37785,1.9798,1.59278,1.66883,0.000141614,0.000141614,0.000141614
93,721.369,1.2314,0.96515,1.31798,0.64846,0.8038,0.77827,0.37759,1.97047,1.45882,1.6419,0.000127467,0.000127467,0.000127467
94,728.335,1.23623,0.94315,1.3163,0.63737,0.83497,0.79331,0.36405,1.99506,1.48149,1.67961,0.00011332,0.00011332,0.00011332
95,735.403,1.2089,0.9361,1.30323,0.66252,0.83695,0.81731,0.39976,1.95496,1.41731,1.70349,9.91726e-05,9.91726e-05,9.91726e-05
96,742.516,1.19013,0.93492,1.30949,0.65642,0.83781,0.8151,0.39039,2.0078,1.4551,1.68553,8.50255e-05,8.50255e-05,8.50255e-05
97,749.543,1.18086,0.90958,1.29032,0.70416,0.78017,0.81592,0.39015,2.02745,1.49304,1.73835,7.08784e-05,7.08784e-05,7.08784e-05
98,756.639,1.17975,0.90157,1.27753,0.70876,0.74957,0.80877,0.3787,2.07721,1.51495,1.72424,5.67313e-05,5.67313e-05,5.67313e-05
99,763.693,1.18046,0.90216,1.29693,0.68031,0.78402,0.80418,0.38372,2.07966,1.50926,1.72523,4.25842e-05,4.25842e-05,4.25842e-05
100,770.797,1.17859,0.88965,1.29078,0.83438,0.65556,0.79547,0.38287,2.05539,1.44198,1.70219,2.84371e-05,2.84371e-05,2.84371e-05
